date,store,item,quantity,price,total,original_price,corrected_price,price_was_total_flag
2025-01-02,Walmart,"Daisy Pure and Natural Sour Cream, 24 oz (1.5 lb) Tub (Refrigerated)",1.0,3.7200,3.7200,3.72,3.7200,yes
2025-01-02,Walmart,"Fresh Banana, Each",4.0,0.2325,0.93,0.2325,,no
2025-01-02,Walmart,"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",3.0,5.0000,15.0000,15.0,5.0000,yes
2025-01-02,Walmart,"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",2.0,11.5800,23.1600,23.16,11.5800,yes
2025-01-02,Walmart,"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",1.0,4.6400,4.6400,4.64,4.6400,yes
2025-01-02,Walmart,"Great Value Crispy and Salty Pretzel Sticks, 16 oz",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-02,Walmart,La Banderita Yellow Corn Tortilla 30 Count,1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-02,Walmart,"Great Value Fiesta Blend Finely Shredded Cheese, 8 oz Bag",2.0,2.2400,4.4800,4.48,2.2400,yes
2025-01-02,Walmart,"Oatly Original Oatmilk, Dairy-Free Milk, 64 fl oz Refrigerated Carton",1.0,4.9800,4.9800,4.98,4.9800,yes
2025-01-02,Walmart,"Great Value Hard Boiled Eggs, 9.31 oz, 6 Count",1.0,3.1600,3.1600,3.16,3.1600,yes
2025-01-02,Walmart,"Great Value Large White Eggs, 18 Count",1.0,5.8700,5.8700,5.87,5.8700,yes
2025-01-02,Walmart,"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz",2.0,2.9700,5.9400,5.94,2.9700,yes
2025-01-02,Walmart,"Great Value Mild Cheddar Finely Shredded Cheese, 8 oz Bag",1.0,2.2400,2.2400,2.24,2.2400,yes
2025-01-02,Walmart,"McCormick Chili Seasoning Mix, 1.25 oz Packet",2.0,1.3700,2.7400,2.74,1.3700,yes
2025-01-02,Walmart,"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 27 oz Can",2.0,2.4200,4.8400,4.84,2.4200,yes
2025-01-02,Walmart,"Great Value Golden Sweet Whole Kernel Corn, 15 oz",2.0,0.5000,1.0000,1.0,0.5000,yes
2025-01-02,Walmart,"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",4.0,0.9600,3.8400,3.84,0.9600,yes
2025-01-02,Walmart,"Great Value Black Beans, 15 oz",4.0,0.8600,3.4400,3.44,0.8600,yes
