raw_item,canonical_item,pack_count,base_unit,size_amount,size_unit,normalized_units_total,category_guess,perishable_guess
"Great Value Large White Eggs, 36 Count",Eggs,36,each,,,936.00,Uncategorized,Non-perishable
"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",King S Hawaiian Hawaiian,24,each,24,oz,648.00,Uncategorized,Non-perishable
"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",Bagels,10,each,15,oz,590.00,Bakery,Non-perishable
"Great Value Large White Eggs, 18 Count",Eggs,18,each,,,504.00,Uncategorized,Non-perishable
"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",Sparkling Water,8,each,12,fl oz,488.00,Beverages,Non-perishable
"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack",Hot Dogs,10,each,16,oz,350.00,Meat,Non-perishable
"Fresh Banana, Each",Bananas,1,each,,,331.00,Produce,Perishable
La Banderita Yellow Corn Tortilla 30 Count,Tortillas,30,oz,,,330.00,Pantry,Non-perishable
"Ziploc® Brand Sandwich Bags with EasyGuide™ Texture, Grip 'n Seal Technology™, Food Storage, Zipper, 300 Count",Storage Bags,300,each,,,300.00,Uncategorized,Non-perishable
"bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​",Sparkling Water,8,each,12,fl oz,288.00,Beverages,Non-perishable
"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray",English Muffins,6,each,12,oz,252.00,Bakery,Non-perishable
"Goody Ouchless Mini Poly Band Hair Ties, No Metal Gentle Hair Elastics, Clear, 250 Ct",Goody Ouchless Mini Poly,250,each,,,250.00,Uncategorized,Non-perishable
"Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box",Frozen Pizza,40,each,,,200.00,Dairy,Perishable
"Melitta 8-12 Cup White Basket Coffee Filters, 200 Ct",Coffee Filters,200,each,,,200.00,Uncategorized,Non-perishable
"Oikos Pro Shots 10g Protein, Mixed Berry Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Drinks,6,each,3.1,fl oz,192.00,Dairy,Perishable
"Great Value Disposable Paper Plates, 10"", 150 Count",Paper Plates,150,each,,,150.00,Uncategorized,Non-perishable
"GoGo squeeZ Applesauce and Fruit Puree, Apple Apple Snack Pouches, 3.2 oz, 20 Pack",Applesauce,20,each,3.2,oz,120.00,Produce,Perishable
"Oikos Pro Shots 10g Protein, Mango Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Drinks,6,each,3.1,fl oz,120.00,Dairy,Perishable
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Yogurt Drinks,8,each,3.1,fl oz,112.00,Dairy,Perishable
"Great Value Disposable Paper Plates, 8.5"", 100 Count",Paper Plates,100,each,,,100.00,Uncategorized,Non-perishable
"Pen+Gear No. 1 Size Smooth Paper Clips, Silver, 100 Count",Pen Gear No Size,100,each,,,100.00,Uncategorized,Non-perishable
"Pen+Gear Push Pins in Clamshell, Clear Plastic Head, Steel Point, 100 Count.",Pen Gear Push Pins,100,each,,,100.00,Uncategorized,Non-perishable
"Great Value Fresh Seal Double Zipper Sandwich Bags, 100 Count",Storage Bags,100,each,,,100.00,Uncategorized,Non-perishable
"GoGo squeeZ No Sugar Added Apple Apple Applesauce & Fruit Puree Pouches, 3.2 oz (24 Pack)",Applesauce,24,each,3.2,oz,96.00,Produce,Perishable
"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count",Tortillas,10,each,,,90.00,Uncategorized,Non-perishable
"Pillsbury Grands! Southern Style Frozen Breakfast Biscuits, Value Pack, 20 ct., 41.6 oz",Pillsbury Grands Southern Style,20,each,41.6,oz,80.00,Uncategorized,Non-perishable
"Oral‑B Floss, Glide Ultra Deep Clean Floss Picks 75 Count",Oral B Floss Glide,75,each,,,75.00,Uncategorized,Non-perishable
Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle,Protein Drinks,1,each,10,fl oz,75.00,Dairy,Perishable
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk,1,fl oz,128,fl oz,74.00,Dairy,Perishable
"Eggland's Best Large White Eggs, 18 Count",Eggs,18,each,,,72.00,Uncategorized,Non-perishable
"Deer Park Spring Water - 32 Pack/16.9 FL Oz, Plastic Bottles",Bottled Water,32,each,16.9,fl oz,64.00,Uncategorized,Non-perishable
"Swiffer Sweep + Mop Heavy Duty Wet Refills, Multi-Surface Floor Cleaner, Unstopables Fresh, 20 Count",Swiffer Sweep Mop Heavy,20,each,,,60.00,Uncategorized,Non-perishable
"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",Sausage,1,each,12,oz,55.00,Meat,Perishable
"Eggland's Best Extra Large White Eggs, 18 Count",Eggs,18,each,,,54.00,Uncategorized,Non-perishable
"Nature's Own WhiteWheat Healthy White Bread, Sliced White Bread Loaf, 20 oz, Shelf-Stable",Bread,1,oz,20,oz,52.00,Bakery,Non-perishable
"Dixie Disposable Paper Plates, 8.5"", Multi-Color, 50 Count",Paper Plates,50,each,,,50.00,Uncategorized,Non-perishable
"Dum Dums Valentines cards for kids classroom, Valentines Party Favors, Original Flavors Lollipops Valentines Candy Bouquets, 8.6 oz, 50 Ct Box",Dum Dums Valentines Cards,50,each,8.6,oz,50.00,Uncategorized,Non-perishable
"Oikos Pro 23g Protein, Mango Pineapple Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,1,each,7,fl oz,50.00,Produce,Perishable
"Great Value Disposable Plastic White Forks, 48 Count",Disposable Plastic White Forks,48,each,,,48.00,Uncategorized,Non-perishable
"Emergen-C Immune+ Gummies Vitamin C Supplement for Immune Support, Super Orange, 45 Ct",Emergen C Immune Gummies,45,each,,,45.00,Uncategorized,Non-perishable
Goodnites Boys' Disposable Nighttime Underwear - Size XS - 44ct | HRA/FSA Eligible,Goodnites Boys Disposable Nighttime,44,each,,,44.00,Uncategorized,Non-perishable
"Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag",Bagels,6,each,20,oz,42.00,Bakery,Non-perishable
"Little Debbie Vanilla Christmas Tree Cakes, 8.52 oz, 5 Count",Little Debbie Vanilla Christmas,5,each,8.52,oz,40.00,Uncategorized,Non-perishable
"Lunchables Ham & Cheddar Value Pack, 1.9 oz Pack",Lunchables Ham Cheddar Value,1,each,1.9,oz,40.00,Uncategorized,Non-perishable
"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz",Pillsbury Orange Rolls With,8,each,13.9,oz,40.00,Uncategorized,Non-perishable
"Chobani 20G Protein Low-Fat Greek Yogurt Drink, Strawberries and Cream 10 fl oz Bottle, 4 Pack",Protein Drinks,4,each,10,fl oz,40.00,Dairy,Perishable
"Starry Lemon Lime Soda Pop, 7.5 fl oz, 10 Pack Mini Cans",Soda,10,each,7.5,fl oz,40.00,Uncategorized,Non-perishable
"Fresh Glorys Cherry Tomatoes, 10 oz Package",Tomatoes,1,each,10,oz,40.00,Produce,Perishable
"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",Tomatoes,1,each,14.5,oz,38.00,Produce,Perishable
"Pepperidge Farm White Hot Dog Buns, Top Sliced, 8-Pack Bag",Hot Dog Buns,1,each,,,37.00,Bakery,Non-perishable
"Dixie To Go Disposable Paper Cups, 12 oz, Multi-Color, 36 Count",Dixie To Go Disposable,36,each,12,oz,36.00,Uncategorized,Non-perishable
"Gatorade Sports Drink, Fruit Punch/Glacier Cherry/Cool Blue Variety Pack, 12 fl oz, 18 Count Bottles",Gatorade Sports Drink Fruit,18,each,12,fl oz,36.00,Uncategorized,Non-perishable
"Great Value Whole Milk Low-Moisture Mozzarella String Cheese Sticks, 12 oz, 12 Count",String Cheese,12,fl oz,12,oz,36.00,Dairy,Perishable
"Great Value Mozzarella String Cheese Sticks, 12 oz Bag, 12 Count",String Cheese,12,oz,12,oz,36.00,Dairy,Perishable
"Oikos Pro 23g Protein, Peach Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,1,each,7,fl oz,33.00,Dairy,Perishable
"Olé Mexican Foods Xtreme Wellness High Fiber Keto Certified Flour Tortilla Wraps, 12.7 oz, 8 Count",Tortillas,8,each,12.7,oz,32.00,Uncategorized,Non-perishable
"GoGo squeeZ Active Electrolyte No Sugar Added Strawberry Pineapple Orange Fruit Blend, 3.9 oz (10 Pack)",Applesauce,10,each,3.9,oz,30.00,Produce,Perishable
"Goody Ouchless Hair Elastics, No Metal Gentle Hair Ties, Blonde, 30 Ct",Goody Ouchless Hair Elastics,30,each,,,30.00,Uncategorized,Non-perishable
"SUPERPRETZEL Bavarian Soft Pretzel Sticks, 24 oz, 10 Count (Frozen)",Superpretzel Bavarian Soft Pretzel,10,each,24,oz,30.00,Uncategorized,Non-perishable
"Oikos Pro 23g Protein, Strawberry Banana Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,1,each,7,fl oz,28.00,Produce,Perishable
"Allegra Adult 24-Hour Allergy Relief Gelcaps, Non-Drowsy Allergy Medicine, 180 mg Pill, 24 Count",Allegra Adult Hour Allergy,24,each,,,24.00,Uncategorized,Non-perishable
Marketside Envy Apples 3 Lb Bag,Apples,1,each,3,lb,24.00,Produce,Perishable
"Gatorade Thirst Quencher Cool Blue Sports Drinks, 12 fl oz, 12 Count Bottles",Gatorade Thirst Quencher Cool,12,each,12,fl oz,24.00,Uncategorized,Non-perishable
"KIND Gluten Free Peanut Butter Dark Chocolate Snack Bars, Value Pack, 1.4 oz, 12 Count, Cardboard Box",Granola Bars,12,each,1.4,oz,24.00,Uncategorized,Non-perishable
"Martin's Hoagie Rolls, 6 count",Martin S Hoagie Rolls,6,each,,,24.00,Uncategorized,Non-perishable
"Midol Complete Menstrual Pain Relief Gelcaps With Acetaminophen for Menstrual Symptom, PMS Relief, and Period Cramp Relief - 24 Count",Midol Complete Menstrual Pain,24,each,,,24.00,Uncategorized,Non-perishable
"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz",Pillsbury Grands Southern Homestyle,2,fl oz,32.6,oz,24.00,Dairy,Perishable
Sweet Loren's Gluten Free Vegan Fudgy Brownie Cookie Dough - 12oz/12ct,Sweet Loren S Gluten,12,each,12,oz,24.00,Uncategorized,Non-perishable
"Swiffer Sweep + Mop, Wet Pads Refill, Floor Cleaner, Cleaning Cloths, Gain, 24 Count",Swiffer Sweep Mop Wet,24,each,,,24.00,Uncategorized,Non-perishable
"Tylenol Cold + Flu Severe Caplets for Multi-Symptom Relief, 24 Count.",Tylenol Cold Flu Severe,24,each,,,24.00,Uncategorized,Non-perishable
"Vicks DayQuil NyQuil Severe Cough, Cold & Flu Relief LiquiCaps, 24 Ct",Vicks Dayquil Nyquil Severe,24,each,,,24.00,Uncategorized,Non-perishable
"Oikos Triple Zero 17g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Tub, 32 oz",Oikos Triple Zero G,1,each,32,oz,23.00,Dairy,Perishable
"McCormick Chili Seasoning Mix, 1.25 oz Packet",Mccormick Chili Seasoning Mix,1,each,1.25,oz,22.00,Uncategorized,Non-perishable
GoGo SqueeZ No Sugar Added Applesauce and Fruit Puree Apple Apple - 3.2oz/20ct,Applesauce,20,each,3.2,oz,20.00,Produce,Perishable
"Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids",Juice,10,each,6,fl oz,20.00,Uncategorized,Non-perishable
"Glad ForceFlex MaxStrength Tall Kitchen Drawstring Trash Bags, 13 Gallon, Odorshield, 20 Count",Trash Bags,20,each,,,20.00,Uncategorized,Non-perishable
"Smucker’s Uncrustables Peanut Butter & Grape Jelly Sandwiches, 10 Count, 2 oz Each, Frozen",Smucker S Uncrustables Peanut,10,each,2,oz,20.00,Uncategorized,Non-perishable
"Swiffer Heavy Duty Mop Wet Multi-Surface Cloth Refills for Floor Mopping, Lavender, 20 Count",Swiffer Heavy Duty Mop,20,each,,,20.00,Uncategorized,Non-perishable
Tazo Passion Herbal Tea Bags - 20ct,Tazo Passion Herbal Tea,20,each,,,20.00,Uncategorized,Non-perishable
Tazo Wild Sweet Orange Caffeine-Free Herbal Tea Bags - 20ct,Tazo Wild Sweet Orange,20,each,,,20.00,Uncategorized,Non-perishable
Chinet Comfort Cup - 18ct/16oz,Chinet Comfort Cup,18,each,16,oz,18.00,Uncategorized,Non-perishable
"FARMHOUSE EGGS, Cage Free Large Brown Eggs, 18 Count",Eggs,18,each,,,18.00,Uncategorized,Non-perishable
"Gatorade Sports Drinks, Grape,Strawberry and Berry Flavored Variety Pack, 12 fl oz, 18 Count Bottles",Gatorade Sports Drinks Grape,18,each,12,fl oz,18.00,Uncategorized,Non-perishable
Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),Eggs,18,each,,,18.00,Uncategorized,Non-perishable
"Pacific Foods Organic Creamy Tomato Soup, 32 oz Carton",Tomatoes,1,each,32,oz,18.00,Produce,Perishable
"GoGo squeeZ No Sugar Added Apple Applesauce & Fruit Puree Pouches, 3.2 oz (16 Pack)",Applesauce,16,each,3.2,oz,16.00,Produce,Perishable
ASP Cough & ST Adult FizzyChews 16CT,Asp Cough St Adult,16,each,,,16.00,Uncategorized,Non-perishable
"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",Kids Fruit Pouches,1,each,4,oz,16.00,Produce,Perishable
"Planet Oat Oat Milk, Velvety & Smooth, Barista Lovers, 52 fl oz",Oat Milk,1,fl oz,52,fl oz,16.00,Dairy,Perishable
Pillsbury Grands! Southern Homestyle Buttermilk Biscuits - 16.3oz/8ct,Pillsbury Grands Southern Homestyle,8,fl oz,16.3,oz,16.00,Dairy,Perishable
Tazo Organic Green Ginger Tea Bags - 16ct,Tazo Green Ginger Tea,16,each,,,16.00,Uncategorized,Non-perishable
"Traditional Medicinals, Organic Turmeric with Meadowsweet & Ginger Herbal Tea Bags, 16 Count",Traditional Medicinals Turmeric With,16,each,,,16.00,Uncategorized,Non-perishable
"Yogi Tea Elderberry Lemon Balm Immune Plus Stress, Herbal Tea Bags, 16 Count",Yogi Tea Elderberry Lemon,16,each,,,16.00,Uncategorized,Non-perishable
"Activia Probiotic Dailies Strawberry and Blueberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Yogurt Drinks,8,each,3.1,fl oz,16.00,Dairy,Perishable
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",Bread,1,oz,20,oz,15.00,Bakery,Non-perishable
"Little Debbie Christmas Tree Brownies, 8 oz, 5 Count",Little Debbie Christmas Tree,5,each,8,oz,15.00,Uncategorized,Non-perishable
