item,total_qty,weeks_observed,units_per_week_all,units_per_week_13w,occurrences,package_volume
"Fresh Banana, Each",331.00,61.71,5.3634,5.6923,54,
Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle,75.00,61.71,1.2153,1.0769,21,20G
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",74.00,61.71,1.1991,1.6923,62,128 fl oz
"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",61.00,61.71,0.9884,0.9231,51,12 fl oz
"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",59.00,61.71,0.9560,0.8462,48,10 count
"Great Value Black Beans, 15 oz",58.00,61.71,0.9398,1.1538,30,15 oz
"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",55.00,61.71,0.8912,0.8462,38,12 oz
"Great Value Oven Roasted Turkey Breast Lunchmeat, 16 oz, Plastic Tub, Refrigerated",54.00,61.71,0.8750,0.7692,39,16 oz
"Tostitos Scoops! Tortilla Chips Multigrain, 10 oz Bag",52.00,61.71,0.8426,1.4615,33,10 oz
"Nature's Own WhiteWheat Healthy White Bread, Sliced White Bread Loaf, 20 oz, Shelf-Stable",52.00,61.71,0.8426,1.0000,38,20 oz
"Oikos Pro 23g Protein, Mango Pineapple Cultured Dairy Drink Bottle, 7 fl oz",50.00,61.71,0.8102,1.3846,13,23g
"Great Value Golden Sweet Whole Kernel Corn, 15 oz",48.00,61.71,0.7778,1.0000,31,15 oz
"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",48.00,61.71,0.7778,0.9231,41,12 oz
"BelGioioso Gluten-Free Asiago Specialty Cheese Wedge, 8 oz",45.00,61.71,0.7292,0.3846,43,8 oz
"Marketside Plain Goat Cheese, 4 oz",44.00,61.71,0.7130,1.0769,28,4 oz
"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray",42.00,61.71,0.6806,0.6154,33,6 count
"Fresh Glorys Cherry Tomatoes, 10 oz Package",40.00,61.71,0.6481,0.9231,33,10 oz
"Lunchables Ham & Cheddar Value Pack, 1.9 oz Pack",40.00,61.71,0.6481,0.0000,10,1.9 oz
"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",38.00,61.71,0.6157,0.6923,21,14.5 oz
"Pepperidge Farm White Hot Dog Buns, Top Sliced, 8-Pack Bag",37.00,61.71,0.5995,1.2308,25,
"bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​",36.00,61.71,0.5833,1.1538,32,12 fl oz
"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack",35.00,61.71,0.5671,1.0769,26,16 oz
"Oikos Pro 23g Protein, Peach Cultured Dairy Drink Bottle, 7 fl oz",33.00,61.71,0.5347,0.3846,8,23g
"Oikos Pro Shots 10g Protein, Mixed Berry Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",32.00,61.71,0.5185,0.7692,27,10g
"Great Value Large White Eggs, 18 Count",28.00,61.71,0.4537,0.2308,23,18 Count
"Oikos Pro 23g Protein, Strawberry Banana Cultured Dairy Drink Bottle, 7 fl oz",28.00,61.71,0.4537,0.6923,6,23g
"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",27.00,61.71,0.4375,0.0769,24,24 Count
"Snyder's of Hanover Pretzels, Braided Pretzel Twists Honey Wheat, 12 oz",27.00,61.71,0.4375,0.4615,24,12 oz
"Great Value Large White Eggs, 36 Count",26.00,61.71,0.4213,0.6923,24,36 Count
Marketside Envy Apples 3 Lb Bag,24.00,61.71,0.3889,1.0000,24,3 Lb
"Sweet Potatoes Whole Fresh, Each",23.00,61.71,0.3727,0.0000,4,
"Jimmy Dean Premium Pork Regular Sausage Roll, 16 oz",23.00,61.71,0.3727,0.7692,22,16 oz
"Oikos Triple Zero 17g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Tub, 32 oz",23.00,61.71,0.3727,0.9231,16,17g
"TAZO Classic Chai Latte Black Tea Concentrate, Made from Real Black Tea, 32oz Carton",23.00,61.71,0.3727,0.6923,22,32oz
"McCormick Chili Seasoning Mix, 1.25 oz Packet",22.00,61.71,0.3565,0.3846,17,1.25 oz
"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 27 oz Can",22.00,61.71,0.3565,0.3846,17,27 oz
"Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",21.00,61.71,0.3403,0.4615,10,32 oz
"Great Value Muenster Deli Style Sliced Cheese, 8 oz, 12 Slices",20.00,61.71,0.3241,0.3077,10,8 oz
"Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag",20.00,61.71,0.3241,0.8462,15,16 oz
"Oikos Pro Shots 10g Protein, Mango Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",20.00,61.71,0.3241,0.2308,19,10g
"Perdue Harvestland, Fresh Ground Chicken, 92% Lean 8% Fat, 1 lb. Tray",19.00,61.71,0.3079,0.4615,13,1 lb
"Great Value Cut Green Beans, 14.5 oz Can",18.00,61.71,0.2917,0.0000,7,14.5 oz
"Fresh Whole Celery Stalk, 1 Each Bag",18.00,61.71,0.2917,0.6154,17,1 Each
"Pacific Foods Organic Creamy Tomato Soup, 32 oz Carton",18.00,61.71,0.2917,0.3077,17,32 oz
"Great Value Colby & Monterey Jack Cheese Snack, 9 oz Bag, 12 Cheese Sticks",18.00,61.71,0.2917,0.5385,14,9 oz
"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",16.00,61.71,0.2593,0.0000,10,4oz
"PopCorners No Artificial Colors or Flavors White Cheddar Popped Corn Chips Bag, 7 oz",16.00,61.71,0.2593,0.3077,13,7 oz
"Planet Oat Oat Milk, Velvety & Smooth, Barista Lovers, 52 fl oz",16.00,61.71,0.2593,0.3846,15,52 fl oz
"Great Value Turkey Pepperoni Slices, 5 oz",15.00,61.71,0.2431,0.6154,12,5 oz
"Fresh Strawberries, 1 lb",15.00,61.71,0.2431,0.0769,13,1 lb
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",15.00,61.71,0.2431,0.1538,12,20 oz
"Great Value Original Sour Cream, 24 oz Tub",15.00,61.71,0.2431,0.3846,14,24 oz
"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",14.00,61.71,0.2269,0.0769,12,12 oz
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",14.00,61.71,0.2269,0.4615,13,16 oz
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",14.00,61.71,0.2269,0.0000,9,3.1 fl oz
"Fritos Regular Corn Chips, 9.25 oz Single Bag",14.00,61.71,0.2269,0.5385,9,9.25 oz
"Fresh Lime, Each",13.00,61.71,0.2106,0.9231,5,
"Fresh Whole Brown Mushrooms, 8 oz",13.00,61.71,0.2106,0.3846,9,8 oz
"DiGiorno Classic Crust Cheese Pizza, 19.1 oz (Frozen)",13.00,61.71,0.2106,0.0000,7,19.1 oz
"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",12.00,61.71,0.1944,0.0000,6,15.5 oz
"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",12.00,61.71,0.1944,0.3846,11,8 oz
"TPH BY TARAJI Make it Rain Hydrating Deep Conditioner With Aloe Vera, Avocado Oil, & Moringa Oil For All Hair Types | Detangler For Curly, Coily & Wavy Hair | Color Safe & Sulfate Free, 12 oz.",12.00,61.71,0.1944,0.0769,11,12 oz
