canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
Bananas,6.0764,6.3846,375.00,3,Produce,Perishable
Protein Yogurt Drinks,3.7106,4.3844,229.00,11,Dairy,Perishable
Milk,2.4628,3.6152,152.00,23,Dairy,Perishable
Tomatoes,2.3169,3.7691,143.00,16,Produce,Perishable
Corn,2.1064,2.9231,130.00,12,Pantry,Non-perishable
Bread,1.7824,2.3843,110.00,17,Bakery,Non-perishable
Sparkling Water,1.6041,2.1538,99.00,4,Beverages,Non-perishable
Bagels,1.1666,1.0000,72.00,4,Bakery,Non-perishable
Black Beans,1.0370,1.6153,64.00,3,Pantry,Non-perishable
Breakfast Sausage,1.0208,1.0000,63.00,3,Meat,Perishable
Turkey Lunchmeat,1.0046,0.7692,62.00,4,Meat,Perishable
Cream Cheese,0.9884,1.5384,61.00,7,Dairy,Perishable
Chips,0.9074,1.4615,56.00,2,Snacks,Non-perishable
Apples,0.9073,1.5383,56.00,12,Produce,Perishable
Large White Eggs,0.8750,0.9231,54.00,2,Uncategorized,Non-perishable
Goat Cheese,0.8426,1.3845,52.00,5,Dairy,Perishable
Asiago Cheese,0.7292,0.3846,45.00,1,Dairy,Perishable
English Muffins,0.6806,0.6154,42.00,1,Bakery,Non-perishable
Lunchables Ham Cheddar Value,0.6481,0.0000,40.00,1,Uncategorized,Non-perishable
Hot Dog Buns,0.6157,1.3077,38.00,2,Bakery,Non-perishable
Hot Dogs,0.5671,1.0769,35.00,1,Meat,Non-perishable
Snyder S Of Hanover,0.4537,0.5384,28.00,2,Uncategorized,Non-perishable
King S Hawaiian Hawaiian,0.4375,0.0769,27.00,1,Uncategorized,Non-perishable
Tazo Classic Chai Latte,0.4213,0.7692,26.00,2,Uncategorized,Non-perishable
Bush S Chili Beans,0.4051,0.3846,25.00,2,Pantry,Non-perishable
Oikos Triple Zero G,0.3889,1.0000,24.00,2,Dairy,Perishable
Reduced Sodium Chicken Broth,0.3889,0.4615,24.00,2,Uncategorized,Perishable
Jimmy Dean Premium Pork,0.3727,0.7692,23.00,1,Meat,Perishable
Sweet Potatoes Whole Each,0.3727,0.0000,23.00,1,Uncategorized,Non-perishable
Sharp Cheddar Finely Shredded,0.3727,0.8462,23.00,2,Dairy,Perishable
Mccormick Chili Seasoning Mix,0.3565,0.3846,22.00,1,Uncategorized,Non-perishable
Muenster Deli Style Sliced,0.3241,0.3077,20.00,1,Dairy,Perishable
Perdue Harvestland Ground Chicken,0.3079,0.4615,19.00,1,Uncategorized,Perishable
Colby Monterey Jack Cheese,0.2917,0.5385,18.00,1,Dairy,Perishable
Cut Green Beans Can,0.2917,0.0000,18.00,1,Pantry,Non-perishable
Whole Celery Stalk Each,0.2917,0.6154,18.00,1,Uncategorized,Non-perishable
Whole Carrots Bag,0.2916,0.4615,18.00,3,Uncategorized,Non-perishable
Blue Diamond Almonds Lightly,0.2754,0.3077,17.00,2,Uncategorized,Non-perishable
Activia Probiotic Dailies Strawberry,0.2593,0.0000,16.00,2,Dairy,Perishable
Honey Nut Cheerios Heart,0.2592,0.4615,16.00,2,Uncategorized,Non-perishable
Sour Cream Tub,0.2431,0.3846,15.00,1,Uncategorized,Non-perishable
Strawberries,0.2431,0.0769,15.00,1,Uncategorized,Non-perishable
Turkey Pepperoni Slices,0.2431,0.6154,15.00,1,Meat,Non-perishable
Tph By Taraji Hustle,0.2269,0.0769,14.00,1,Uncategorized,Non-perishable
Pillsbury Grands Southern Homestyle,0.2268,0.0769,14.00,2,Dairy,Perishable
Digiorno Classic Crust Cheese,0.2106,0.0000,13.00,1,Dairy,Perishable
Lime Each,0.2106,0.9231,13.00,1,Uncategorized,Non-perishable
Whole Brown Mushrooms,0.2106,0.3846,13.00,1,Uncategorized,Non-perishable
Perdue Harvestland Free Range,0.2106,0.5385,13.00,2,Uncategorized,Perishable
Kerrygold Grass Fed Pure,0.1944,0.3846,12.00,1,Uncategorized,Non-perishable
Smithfield Hickory Smoked Bacon,0.1944,0.4615,12.00,1,Uncategorized,Non-perishable
Tph By Taraji Make,0.1944,0.0769,12.00,1,Uncategorized,Non-perishable
Old El Paso Mild,0.1944,0.3077,12.00,2,Uncategorized,Non-perishable
Pace Chunky Medium Salsa,0.1944,0.2308,12.00,2,Uncategorized,Non-perishable
Gordo S Queso Cheese,0.1782,0.3846,11.00,1,Dairy,Perishable
Heinz Chili Sauce Bottle,0.1782,0.0000,11.00,1,Uncategorized,Non-perishable
No Stir Creamy Natural,0.1782,0.3846,11.00,1,Uncategorized,Non-perishable
Whole Russet Potatoes Bag,0.1782,0.3077,11.00,1,Uncategorized,Non-perishable
Scott Toilet Paper Rolls,0.1782,0.2308,11.00,2,Uncategorized,Non-perishable
Mixed Vegetables Steamable Bag,0.1620,0.1538,10.00,1,Uncategorized,Non-perishable
Snack Factory Pretzel Crisps,0.1620,0.1538,10.00,2,Uncategorized,Non-perishable
Fiesta Blend Finely Shredded,0.1620,0.0000,10.00,2,Dairy,Perishable
Green Bell Pepper Each,0.1458,0.1538,9.00,1,Uncategorized,Non-perishable
Hass Avocados Each,0.1458,0.3846,9.00,1,Uncategorized,Non-perishable
Hellmann S Real Mayonnaise,0.1458,0.3077,9.00,1,Uncategorized,Non-perishable
Mission Super Soft Flour,0.1458,0.0000,9.00,1,Uncategorized,Non-perishable
Red Bell Pepper Each,0.1458,0.3077,9.00,1,Uncategorized,Non-perishable
Sunbutter Sunflower Seed Butter,0.1458,0.0000,9.00,1,Uncategorized,Non-perishable
Whole Yellow Onion Each,0.1458,0.3846,9.00,1,Uncategorized,Non-perishable
