raw_item,canonical_item_suggested,grouping_reason,category_guess,perishable_guess,units_per_week_all,units_per_week_13w,total_qty,package_volume
"Fresh Banana, Each",Bananas,\bbanana\b,Produce,Perishable,5.3634,5.6923,331.00,
Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle,Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,1.2153,1.0769,75.00,20G
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk,\bmilk\b,Dairy,Perishable,1.1991,1.6923,74.00,128 fl oz
"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",Sparkling Water,\bbubly\b|\bsparkling water\b,Beverages,Non-perishable,0.9884,0.9231,61.00,12 fl oz
"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",Bagels,\bmini bagels?\b|\bbagels?\b,Bakery,Non-perishable,0.9560,0.8462,59.00,10 count
"Great Value Black Beans, 15 oz",Black Beans,\bblack beans\b,Pantry,Non-perishable,0.9398,1.1538,58.00,15 oz
"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",Breakfast Sausage,\bsausage links?\b|\bbreakfast pork sausage\b,Meat,Perishable,0.8912,0.8462,55.00,12 oz
"Great Value Oven Roasted Turkey Breast Lunchmeat, 16 oz, Plastic Tub, Refrigerated",Turkey Lunchmeat,\bturkey breast lunchmeat\b|\blunchmeat\b,Meat,Perishable,0.8750,0.7692,54.00,16 oz
"Nature's Own WhiteWheat Healthy White Bread, Sliced White Bread Loaf, 20 oz, Shelf-Stable",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.8426,1.0000,52.00,20 oz
"Tostitos Scoops! Tortilla Chips Multigrain, 10 oz Bag",Chips,\btostitos\b|\bfritos\b|\btortilla chips\b|\bcorn snacks\b,Snacks,Non-perishable,0.8426,1.4615,52.00,10 oz
"Oikos Pro 23g Protein, Mango Pineapple Cultured Dairy Drink Bottle, 7 fl oz",Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Produce,Perishable,0.8102,1.3846,50.00,23g
"Great Value Golden Sweet Whole Kernel Corn, 15 oz",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.7778,1.0000,48.00,15 oz
"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",Cream Cheese,\bwhipped cream cheese\b|\bcream cheese\b,Dairy,Perishable,0.7778,0.9231,48.00,12 oz
"BelGioioso Gluten-Free Asiago Specialty Cheese Wedge, 8 oz",Asiago Cheese,\basiago\b,Dairy,Perishable,0.7292,0.3846,45.00,8 oz
"Marketside Plain Goat Cheese, 4 oz",Goat Cheese,\bgoat cheese\b,Dairy,Perishable,0.7130,1.0769,44.00,4 oz
"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray",English Muffins,\benglish muffins?\b,Bakery,Non-perishable,0.6806,0.6154,42.00,6 count
"Lunchables Ham & Cheddar Value Pack, 1.9 oz Pack",Lunchables Ham Cheddar Value,kept_previous,Uncategorized,Non-perishable,0.6481,0.0000,40.00,1.9 oz
"Fresh Glorys Cherry Tomatoes, 10 oz Package",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.6481,0.9231,40.00,10 oz
"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.6157,0.6923,38.00,14.5 oz
"Pepperidge Farm White Hot Dog Buns, Top Sliced, 8-Pack Bag",Hot Dog Buns,\bhot dog buns?\b,Bakery,Non-perishable,0.5995,1.2308,37.00,
"bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​",Sparkling Water,\bbubly\b|\bsparkling water\b,Beverages,Non-perishable,0.5833,1.1538,36.00,12 fl oz
"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack",Hot Dogs,\bfranks\b|\bhot dogs?\b,Meat,Non-perishable,0.5671,1.0769,35.00,16 oz
"Oikos Pro 23g Protein, Peach Cultured Dairy Drink Bottle, 7 fl oz",Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,0.5347,0.3846,33.00,23g
"Oikos Pro Shots 10g Protein, Mixed Berry Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,0.5185,0.7692,32.00,10g
"Oikos Pro 23g Protein, Strawberry Banana Cultured Dairy Drink Bottle, 7 fl oz",Bananas,\bbanana\b,Produce,Perishable,0.4537,0.6923,28.00,23g
"Great Value Large White Eggs, 18 Count",Large White Eggs,kept_previous,Uncategorized,Non-perishable,0.4537,0.2308,28.00,18 Count
"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",King S Hawaiian Hawaiian,kept_previous,Uncategorized,Non-perishable,0.4375,0.0769,27.00,24 Count
"Snyder's of Hanover Pretzels, Braided Pretzel Twists Honey Wheat, 12 oz",Snyder S Of Hanover,kept_previous,Uncategorized,Non-perishable,0.4375,0.4615,27.00,12 oz
"Great Value Large White Eggs, 36 Count",Large White Eggs,kept_previous,Uncategorized,Non-perishable,0.4213,0.6923,26.00,36 Count
