raw_item,canonical_item,category_guess,perishable_guess,base_unit,pack_count,size_amount,size_unit,total_qty_purchased,normalized_units_total,units_per_week_all_raw,units_per_week_13w_raw,package_volume_hint
"Fresh Banana, Each",Bananas,Produce,Perishable,each,1,,,331.00,331.00,5.3634,5.6923,
Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle,Protein Drinks,Dairy,Perishable,each,1,10,fl oz,75.00,75.00,1.2153,1.0769,20G
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk,Dairy,Perishable,fl oz,1,128,fl oz,74.00,74.00,1.1991,1.6923,128 fl oz
"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​",Sparkling Water,Beverages,Non-perishable,each,8,12,fl oz,61.00,488.00,0.9884,0.9231,12 fl oz
"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag",Bagels,Bakery,Non-perishable,each,10,15,oz,59.00,590.00,0.9560,0.8462,10 count
"Great Value Black Beans, 15 oz",Black Beans,Pantry,Non-perishable,oz,1,15,oz,58.00,58.00,0.9398,1.1538,15 oz
"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package",Breakfast Sausage,Meat,Perishable,each,1,12,oz,55.00,55.00,0.8912,0.8462,12 oz
"Great Value Oven Roasted Turkey Breast Lunchmeat, 16 oz, Plastic Tub, Refrigerated",Turkey Lunchmeat,Meat,Perishable,each,1,16,oz,54.00,54.00,0.8750,0.7692,16 oz
"Nature's Own WhiteWheat Healthy White Bread, Sliced White Bread Loaf, 20 oz, Shelf-Stable",Bread,Bakery,Non-perishable,oz,1,20,oz,52.00,52.00,0.8426,1.0000,20 oz
"Tostitos Scoops! Tortilla Chips Multigrain, 10 oz Bag",Chips,Snacks,Non-perishable,oz,1,10,oz,52.00,52.00,0.8426,1.4615,10 oz
"Oikos Pro 23g Protein, Mango Pineapple Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,Produce,Perishable,each,1,7,fl oz,50.00,50.00,0.8102,1.3846,23g
"Great Value Golden Sweet Whole Kernel Corn, 15 oz",Corn,Pantry,Non-perishable,oz,1,15,oz,48.00,48.00,0.7778,1.0000,15 oz
"Great Value Original Whipped Cream Cheese Spread, 12 oz Tub",Cream Cheese,Dairy,Perishable,oz,1,12,oz,48.00,48.00,0.7778,0.9231,12 oz
"BelGioioso Gluten-Free Asiago Specialty Cheese Wedge, 8 oz",Asiago Cheese,Dairy,Perishable,oz,1,8,oz,45.00,45.00,0.7292,0.3846,8 oz
"Marketside Plain Goat Cheese, 4 oz",Goat Cheese,Dairy,Perishable,oz,1,4,oz,44.00,44.00,0.7130,1.0769,4 oz
"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray",English Muffins,Bakery,Non-perishable,each,6,12,oz,42.00,252.00,0.6806,0.6154,6 count
"Lunchables Ham & Cheddar Value Pack, 1.9 oz Pack",Lunchables Ham Cheddar Value,Uncategorized,Non-perishable,each,1,1.9,oz,40.00,40.00,0.6481,0.0000,1.9 oz
"Fresh Glorys Cherry Tomatoes, 10 oz Package",Tomatoes,Produce,Perishable,each,1,10,oz,40.00,40.00,0.6481,0.9231,10 oz
"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",Tomatoes,Produce,Perishable,each,1,14.5,oz,38.00,38.00,0.6157,0.6923,14.5 oz
"Pepperidge Farm White Hot Dog Buns, Top Sliced, 8-Pack Bag",Hot Dog Buns,Bakery,Non-perishable,each,1,,,37.00,37.00,0.5995,1.2308,
"bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​",Sparkling Water,Beverages,Non-perishable,each,8,12,fl oz,36.00,288.00,0.5833,1.1538,12 fl oz
"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack",Hot Dogs,Meat,Non-perishable,each,10,16,oz,35.00,350.00,0.5671,1.0769,16 oz
"Oikos Pro 23g Protein, Peach Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,Dairy,Perishable,each,1,7,fl oz,33.00,33.00,0.5347,0.3846,23g
"Oikos Pro Shots 10g Protein, Mixed Berry Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Drinks,Dairy,Perishable,each,6,3.1,fl oz,32.00,192.00,0.5185,0.7692,10g
"Oikos Pro 23g Protein, Strawberry Banana Cultured Dairy Drink Bottle, 7 fl oz",Protein Drinks,Produce,Perishable,each,1,7,fl oz,28.00,28.00,0.4537,0.6923,23g
"Great Value Large White Eggs, 18 Count",Large White Eggs,Uncategorized,Non-perishable,each,18,,,28.00,504.00,0.4537,0.2308,18 Count
"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable",King S Hawaiian Hawaiian,Uncategorized,Non-perishable,each,24,24,oz,27.00,648.00,0.4375,0.0769,24 Count
"Snyder's of Hanover Pretzels, Braided Pretzel Twists Honey Wheat, 12 oz",Snyder S Of Hanover,Uncategorized,Non-perishable,each,1,12,oz,27.00,27.00,0.4375,0.4615,12 oz
"Great Value Large White Eggs, 36 Count",Large White Eggs,Uncategorized,Non-perishable,each,36,,,26.00,936.00,0.4213,0.6923,36 Count
Marketside Envy Apples 3 Lb Bag,Apples,Produce,Perishable,each,1,3,lb,24.00,24.00,0.3889,1.0000,3 Lb
"Jimmy Dean Premium Pork Regular Sausage Roll, 16 oz",Jimmy Dean Premium Pork,Meat,Perishable,each,1,16,oz,23.00,23.00,0.3727,0.7692,16 oz
"Oikos Triple Zero 17g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Tub, 32 oz",Oikos Triple Zero G,Dairy,Perishable,each,1,32,oz,23.00,23.00,0.3727,0.9231,17g
"Sweet Potatoes Whole Fresh, Each",Sweet Potatoes Whole Each,Uncategorized,Non-perishable,each,1,,,23.00,23.00,0.3727,0.0000,
"TAZO Classic Chai Latte Black Tea Concentrate, Made from Real Black Tea, 32oz Carton",Tazo Classic Chai Latte,Uncategorized,Non-perishable,each,1,32,oz,23.00,23.00,0.3727,0.6923,32oz
"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 27 oz Can",Bush S Chili Beans,Pantry,Non-perishable,each,1,27,oz,22.00,22.00,0.3565,0.3846,27 oz
"McCormick Chili Seasoning Mix, 1.25 oz Packet",Mccormick Chili Seasoning Mix,Uncategorized,Non-perishable,each,1,1.25,oz,22.00,22.00,0.3565,0.3846,1.25 oz
"Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",Reduced Sodium Chicken Broth,Uncategorized,Perishable,each,1,32,oz,21.00,21.00,0.3403,0.4615,32 oz
"Great Value Muenster Deli Style Sliced Cheese, 8 oz, 12 Slices",Muenster Deli Style Sliced,Dairy,Perishable,oz,1,8,oz,20.00,20.00,0.3241,0.3077,8 oz
"Oikos Pro Shots 10g Protein, Mango Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Drinks,Dairy,Perishable,each,6,3.1,fl oz,20.00,120.00,0.3241,0.2308,10g
"Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag",Sharp Cheddar Finely Shredded,Dairy,Perishable,oz,1,16,oz,20.00,20.00,0.3241,0.8462,16 oz
"Perdue Harvestland, Fresh Ground Chicken, 92% Lean 8% Fat, 1 lb. Tray",Perdue Harvestland Ground Chicken,Uncategorized,Perishable,each,1,1,lb,19.00,19.00,0.3079,0.4615,1 lb
"Great Value Colby & Monterey Jack Cheese Snack, 9 oz Bag, 12 Cheese Sticks",Colby Monterey Jack Cheese,Dairy,Perishable,oz,1,9,oz,18.00,18.00,0.2917,0.5385,9 oz
"Great Value Cut Green Beans, 14.5 oz Can",Cut Green Beans Can,Pantry,Non-perishable,each,1,14.5,oz,18.00,18.00,0.2917,0.0000,14.5 oz
"Pacific Foods Organic Creamy Tomato Soup, 32 oz Carton",Tomatoes,Produce,Perishable,each,1,32,oz,18.00,18.00,0.2917,0.3077,32 oz
"Fresh Whole Celery Stalk, 1 Each Bag",Whole Celery Stalk Each,Uncategorized,Non-perishable,each,1,,,18.00,18.00,0.2917,0.6154,1 Each
"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",Bananas,Produce,Perishable,each,1,4,oz,16.00,16.00,0.2593,0.0000,4oz
"PopCorners No Artificial Colors or Flavors White Cheddar Popped Corn Chips Bag, 7 oz",Corn,Pantry,Non-perishable,oz,1,7,oz,16.00,16.00,0.2593,0.3077,7 oz
"Planet Oat Oat Milk, Velvety & Smooth, Barista Lovers, 52 fl oz",Milk,Dairy,Perishable,fl oz,1,52,fl oz,16.00,16.00,0.2593,0.3846,52 fl oz
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",Bread,Bakery,Non-perishable,oz,1,20,oz,15.00,15.00,0.2431,0.1538,20 oz
"Great Value Original Sour Cream, 24 oz Tub",Sour Cream Tub,Uncategorized,Non-perishable,each,1,24,oz,15.00,15.00,0.2431,0.3846,24 oz
"Fresh Strawberries, 1 lb",Strawberries,Uncategorized,Non-perishable,each,1,1,lb,15.00,15.00,0.2431,0.0769,1 lb
"Great Value Turkey Pepperoni Slices, 5 oz",Turkey Pepperoni Slices,Meat,Non-perishable,each,1,5,oz,15.00,15.00,0.2431,0.6154,5 oz
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Yogurt Drinks,Dairy,Perishable,each,8,3.1,fl oz,14.00,112.00,0.2269,0.0000,3.1 fl oz
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",Bread,Bakery,Non-perishable,oz,1,16,oz,14.00,14.00,0.2269,0.4615,16 oz
"Fritos Regular Corn Chips, 9.25 oz Single Bag",Corn,Pantry,Non-perishable,oz,1,9.25,oz,14.00,14.00,0.2269,0.5385,9.25 oz
"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",Tph By Taraji Hustle,Uncategorized,Non-perishable,each,1,12,oz,14.00,14.00,0.2269,0.0769,12 oz
"DiGiorno Classic Crust Cheese Pizza, 19.1 oz (Frozen)",Digiorno Classic Crust Cheese,Dairy,Perishable,oz,1,19.1,oz,13.00,13.00,0.2106,0.0000,19.1 oz
"Fresh Lime, Each",Lime Each,Uncategorized,Non-perishable,each,1,,,13.00,13.00,0.2106,0.9231,
"Fresh Whole Brown Mushrooms, 8 oz",Whole Brown Mushrooms,Uncategorized,Non-perishable,each,1,8,oz,13.00,13.00,0.2106,0.3846,8 oz
"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",Corn,Pantry,Non-perishable,oz,1,15.5,oz,12.00,12.00,0.1944,0.0000,15.5 oz
"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",Kerrygold Grass Fed Pure,Uncategorized,Non-perishable,each,1,8,oz,12.00,12.00,0.1944,0.3846,8 oz
