canonical_item,normalized_units_total,raw_item_count,base_unit,category_guess,perishable_guess,size_examples
Large White Eggs,1440.00,2,each,Uncategorized,Non-perishable,
Bagels,833.00,4,each,Bakery,Non-perishable,15 oz; 20 oz; 7 oz
Sparkling Water,785.00,4,each,Beverages,Non-perishable,12 fl oz
King S Hawaiian Hawaiian,648.00,1,each,Uncategorized,Non-perishable,24 oz
Protein Drinks,549.00,11,each,Dairy,Perishable,10 fl oz; 14 fl oz; 3.1 fl oz; 40 fl oz; 7 fl oz
Corn,449.00,12,oz,Pantry,Non-perishable,11 oz; 14.75 oz; 15 oz; 15.5 oz; 7 oz
Hot Dogs,350.00,1,each,Meat,Non-perishable,16 oz
Bananas,347.00,2,each,Produce,Perishable,4 oz
Ziploc Brand Sandwich Bags,300.00,1,each,Uncategorized,Non-perishable,
Apples,296.00,12,each,Produce,Perishable,2 lb; 2 lbs; 3 lb; 3.2 oz; 96 fl oz
English Muffins,252.00,1,each,Bakery,Non-perishable,12 oz
Disposable Paper Plates,250.00,2,each,Uncategorized,Non-perishable,
Goody Ouchless Mini Poly,250.00,1,each,Uncategorized,Non-perishable,
Melitta Cup White Basket,200.00,1,each,Uncategorized,Non-perishable,
Milk,194.00,23,fl oz,Dairy,Perishable,10 oz; 10.05 oz; 11.5 oz; 12 fl oz; 12 oz
Tomatoes,145.00,16,each,Produce,Perishable,10 oz; 14.5 oz; 24 oz; 28 oz; 32 oz
Yogurt Drinks,134.00,3,each,Dairy,Perishable,3.1 fl oz
Bread,110.00,17,oz,Bakery,Non-perishable,10.5 oz; 16 oz; 17 oz; 18 oz; 18.7 oz
Pen Gear No Size,100.00,1,each,Uncategorized,Non-perishable,
Pen Gear Push Pins,100.00,1,each,Uncategorized,Non-perishable,
Seal Double Zipper Sandwich,100.00,1,each,Uncategorized,Non-perishable,
Mission Super Soft Flour,90.00,1,each,Uncategorized,Non-perishable,
Pillsbury Grands Southern Style,80.00,1,each,Uncategorized,Non-perishable,41.6 oz
Oral B Floss Glide,75.00,1,each,Uncategorized,Non-perishable,
Breakfast Sausage,74.00,3,each,Meat,Perishable,12 oz; 9.6 oz
Eggland S Best Large,72.00,1,each,Uncategorized,Non-perishable,
Deer Park Spring Water,67.00,2,each,Uncategorized,Non-perishable,16.9 fl oz
Black Beans,64.00,3,oz,Pantry,Non-perishable,15 oz; 15.5 oz
Turkey Lunchmeat,62.00,4,each,Meat,Perishable,16 oz; 9 oz
Cream Cheese,61.00,7,oz,Dairy,Perishable,12 oz; 16 oz; 8 oz
Swiffer Sweep Mop Heavy,60.00,1,each,Uncategorized,Non-perishable,
Chips,56.00,2,oz,Snacks,Non-perishable,10 oz
Eggland S Best Extra,54.00,1,each,Uncategorized,Non-perishable,
Goat Cheese,52.00,5,oz,Dairy,Perishable,4 oz
Dixie Disposable Paper Plates,50.00,1,each,Uncategorized,Non-perishable,
Dum Dums Valentines Cards,50.00,1,each,Uncategorized,Non-perishable,8.6 oz
Disposable Plastic White Forks,48.00,1,each,Uncategorized,Non-perishable,
Asiago Cheese,45.00,1,oz,Dairy,Perishable,8 oz
Emergen C Immune Gummies,45.00,1,each,Uncategorized,Non-perishable,
Goodnites Boys Disposable Nighttime,44.00,1,each,Uncategorized,Non-perishable,
Lunchables Ham Cheddar Value,40.00,1,each,Uncategorized,Non-perishable,1.9 oz
Pillsbury Grands Southern Homestyle,40.00,2,fl oz,Dairy,Perishable,16.3 oz; 32.6 oz
Little Debbie Vanilla Christmas,40.00,1,each,Uncategorized,Non-perishable,8.52 oz
Pillsbury Orange Rolls With,40.00,1,each,Uncategorized,Non-perishable,13.9 oz
Starry Lemon Lime Soda,40.00,1,each,Uncategorized,Non-perishable,7.5 fl oz
Hot Dog Buns,38.00,2,each,Bakery,Non-perishable,
Mozzarella String Cheese Sticks,36.00,1,oz,Dairy,Perishable,12 oz
Gatorade Sports Drink Fruit,36.00,1,each,Uncategorized,Non-perishable,12 fl oz
Dixie To Go Disposable,36.00,1,each,Uncategorized,Non-perishable,12 oz
Applesauce Pouches,34.00,2,each,Produce,Perishable,3.9 oz
Smucker S Uncrustables Peanut,34.00,3,each,Uncategorized,Non-perishable,2 oz
Ol Mexican Foods Xtreme,32.00,1,each,Uncategorized,Non-perishable,12.7 oz
Superpretzel Bavarian Soft Pretzel,30.00,1,each,Uncategorized,Non-perishable,24 oz
Goody Ouchless Hair Elastics,30.00,1,each,Uncategorized,Non-perishable,
Snyder S Of Hanover,28.00,2,each,Uncategorized,Non-perishable,12 oz; 16 oz
Oikos Triple Zero G,27.00,2,each,Dairy,Perishable,32 oz; 5.3 oz
Tazo Classic Chai Latte,26.00,2,each,Uncategorized,Non-perishable,32 fl oz; 32 oz
Bush S Chili Beans,25.00,2,each,Pantry,Non-perishable,16 oz; 27 oz
Reduced Sodium Chicken Broth,24.00,2,each,Uncategorized,Perishable,32 oz
Martin S Hoagie Rolls,24.00,1,each,Uncategorized,Non-perishable,
Gatorade Thirst Quencher Cool,24.00,1,each,Uncategorized,Non-perishable,12 fl oz
Kind Gluten Free Peanut,24.00,1,each,Uncategorized,Non-perishable,1.4 oz
Sweet Loren S Gluten,24.00,1,each,Uncategorized,Non-perishable,12 oz
Allegra Adult Hour Allergy,24.00,1,each,Uncategorized,Non-perishable,
Midol Complete Menstrual Pain,24.00,1,each,Uncategorized,Non-perishable,
Swiffer Sweep Mop Wet,24.00,1,each,Uncategorized,Non-perishable,
Tylenol Cold Flu Severe,24.00,1,each,Uncategorized,Non-perishable,
Vicks Dayquil Nyquil Severe,24.00,1,each,Uncategorized,Non-perishable,
Jimmy Dean Premium Pork,23.00,1,each,Meat,Perishable,16 oz
Sweet Potatoes Whole Each,23.00,1,each,Uncategorized,Non-perishable,
Sharp Cheddar Finely Shredded,23.00,2,oz,Dairy,Perishable,16 oz; 8 oz
Mccormick Chili Seasoning Mix,22.00,1,each,Uncategorized,Non-perishable,1.25 oz
Muenster Deli Style Sliced,20.00,1,oz,Dairy,Perishable,8 oz
Capri Sun Summer Blast,20.00,1,each,Uncategorized,Non-perishable,6 fl oz
Glad Forceflex Maxstrength Tall,20.00,1,each,Uncategorized,Non-perishable,
Swiffer Heavy Duty Mop,20.00,1,each,Uncategorized,Non-perishable,
Tazo Passion Herbal Tea,20.00,1,each,Uncategorized,Non-perishable,
Tazo Wild Sweet Orange,20.00,1,each,Uncategorized,Non-perishable,
Perdue Harvestland Ground Chicken,19.00,1,each,Uncategorized,Perishable,1 lb
Colby Monterey Jack Cheese,18.00,1,oz,Dairy,Perishable,9 oz
Cut Green Beans Can,18.00,1,each,Pantry,Non-perishable,14.5 oz
Whole Celery Stalk Each,18.00,1,each,Uncategorized,Non-perishable,
Whole Carrots Bag,18.00,3,each,Uncategorized,Non-perishable,1 lb; 2 lb; 5 lb
Old El Paso Mild,18.00,2,each,Uncategorized,Non-perishable,10 oz
Chinet Comfort Cup,18.00,1,each,Uncategorized,Non-perishable,16 oz
Farmhouse Eggs Cage Free,18.00,1,each,Uncategorized,Non-perishable,
Gatorade Sports Drinks Grape,18.00,1,each,Uncategorized,Non-perishable,12 fl oz
Grade A Large Eggs,18.00,1,each,Uncategorized,Non-perishable,
Blue Diamond Almonds Lightly,17.00,2,each,Uncategorized,Non-perishable,14 oz; 25 oz
Honey Nut Cheerios Heart,16.00,2,each,Uncategorized,Non-perishable,18.8 oz; 27.2 oz
Asp Cough St Adult,16.00,1,each,Uncategorized,Non-perishable,
Tazo Green Ginger Tea,16.00,1,each,Uncategorized,Non-perishable,
Traditional Medicinals Turmeric With,16.00,1,each,Uncategorized,Non-perishable,
Yogi Tea Elderberry Lemon,16.00,1,each,Uncategorized,Non-perishable,
Sour Cream Tub,15.00,1,each,Uncategorized,Non-perishable,24 oz
Strawberries,15.00,1,each,Uncategorized,Non-perishable,1 lb
Turkey Pepperoni Slices,15.00,1,each,Meat,Non-perishable,5 oz
Little Debbie Christmas Tree,15.00,1,each,Uncategorized,Non-perishable,8 oz
Low Moisture Part Skim,15.00,2,oz,Dairy,Perishable,12 oz; 32 oz
Tph By Taraji Hustle,14.00,1,each,Uncategorized,Non-perishable,12 oz
Digiorno Classic Crust Cheese,13.00,1,oz,Dairy,Perishable,19.1 oz
Lime Each,13.00,1,each,Uncategorized,Non-perishable,
Whole Brown Mushrooms,13.00,1,each,Uncategorized,Non-perishable,8 oz
Perdue Harvestland Free Range,13.00,2,each,Uncategorized,Perishable,1.7 lb; 1.9 lb
Kerrygold Grass Fed Pure,12.00,1,each,Uncategorized,Non-perishable,8 oz
Smithfield Hickory Smoked Bacon,12.00,1,each,Uncategorized,Non-perishable,16 oz
Tph By Taraji Make,12.00,1,each,Uncategorized,Non-perishable,12 oz
Pace Chunky Medium Salsa,12.00,2,each,Uncategorized,Non-perishable,16 oz; 64 oz
Crest Toothpaste Dwhite Advanced,12.00,1,each,Uncategorized,Non-perishable,3.3 oz
Romaine Lettuce Hearts Each,12.00,1,each,Uncategorized,Non-perishable,
Wholly Guacamole Minis Paste,12.00,1,each,Uncategorized,Non-perishable,12 oz
Cascade Platinum Dishwasher Pods,12.00,1,each,Uncategorized,Non-perishable,
Keebler Waffle Ice Cream,12.00,1,each,Uncategorized,Non-perishable,5 oz
Kraft String Cheese Mozzarella,12.00,1,oz,Dairy,Perishable,
Pen Gear Letter Size,12.00,1,each,Uncategorized,Non-perishable,
Waffles Cones,12.00,1,each,Uncategorized,Non-perishable,7 oz
Gordo S Queso Cheese,11.00,1,oz,Dairy,Perishable,16 oz
Heinz Chili Sauce Bottle,11.00,1,each,Uncategorized,Non-perishable,12 oz
No Stir Creamy Natural,11.00,1,each,Uncategorized,Non-perishable,40 oz
Whole Russet Potatoes Bag,11.00,1,each,Uncategorized,Non-perishable,5 lb
Scott Toilet Paper Rolls,11.00,2,each,Uncategorized,Non-perishable,
Mixed Vegetables Steamable Bag,10.00,1,each,Uncategorized,Non-perishable,12 oz
Snack Factory Pretzel Crisps,10.00,2,each,Uncategorized,Non-perishable,14 oz
Fiesta Blend Finely Shredded,10.00,2,oz,Dairy,Perishable,16 oz; 8 oz
Little Debbie Chocolate Christmas,10.00,1,each,Uncategorized,Non-perishable,8.25 oz
Pillsbury Grands Cinnamon Rolls,10.00,1,each,Uncategorized,Non-perishable,17.5 oz
Old El Paso Stand,10.00,1,each,Uncategorized,Non-perishable,4.7 oz
Swiffer Dusters Multi Surface,10.00,1,each,Uncategorized,Non-perishable,
Green Bell Pepper Each,9.00,1,each,Uncategorized,Non-perishable,
Hass Avocados Each,9.00,1,each,Uncategorized,Non-perishable,
Hellmann S Real Mayonnaise,9.00,1,each,Uncategorized,Non-perishable,20 oz
Red Bell Pepper Each,9.00,1,each,Uncategorized,Non-perishable,
Sunbutter Sunflower Seed Butter,9.00,1,each,Uncategorized,Non-perishable,16 oz
Whole Yellow Onion Each,9.00,1,each,Uncategorized,Non-perishable,
Safety St Parent Grip,9.00,1,each,Uncategorized,Non-perishable,
Jet Puffed Mini Marshmallows,8.00,1,each,Uncategorized,Non-perishable,10 oz
Kraft Mexican Style Cheddar,8.00,1,each,Dairy,Perishable,16 oz
Oreo Cakesters Soft Snack,8.00,1,each,Uncategorized,Non-perishable,2.02 oz
Progresso Rich And Hearty,8.00,1,each,Uncategorized,Perishable,19 oz
Stauffer S Animal Snack,8.00,1,each,Uncategorized,Non-perishable,32 oz
Wide Egg Noodles,8.00,1,each,Uncategorized,Non-perishable,16 oz
Italian Style Finely Shredded,8.00,2,oz,Dairy,Perishable,16 oz; 8 oz
Pillsbury Crescent Rolls Dough,8.00,1,each,Uncategorized,Non-perishable,16 oz
Ivory Bar Soap Scent,8.00,1,each,Uncategorized,Non-perishable,
Magic Spoon S Mores,8.00,1,each,Uncategorized,Non-perishable,5.6 oz
Ball Park White Burger,8.00,1,each,Bakery,Non-perishable,15 oz
Combat Max Large Roach,8.00,1,each,Uncategorized,Non-perishable,
Dr Scholl S Blister,8.00,1,each,Uncategorized,Non-perishable,
Drumstick Crushed It Cookies,8.00,1,each,Uncategorized,Non-perishable,
Goody Sport Active Elastic,8.00,1,each,Uncategorized,Non-perishable,
All Natural Ground Chicken,7.00,1,each,Uncategorized,Perishable,1 lb
Cholula Green Pepper Hot,7.00,1,each,Uncategorized,Non-perishable,5.0 fl oz
Concord Grape Jelly,7.00,1,each,Uncategorized,Non-perishable,30 oz
Crunchmaster Multi Grain Sea,7.00,1,each,Uncategorized,Non-perishable,4 oz
Crunchmaster Multi Seed Crisps,7.00,1,each,Uncategorized,Non-perishable,4.5 oz
Digiorno Stuffed Crust Cheese,7.00,1,oz,Dairy,Perishable,26.4 oz
Frozen Broccoli Florets Steamable,7.00,1,each,Uncategorized,Non-perishable,12 oz
Mccormick Less Sodium Taco,7.00,1,each,Uncategorized,Non-perishable,1.0 oz
Mild Cheddar Finely Shredded,7.00,1,oz,Dairy,Perishable,8 oz
Scott Paper Towels Choose,7.00,1,each,Uncategorized,Non-perishable,
Wholly Guacamole Classic Bowl,7.00,1,each,Uncategorized,Non-perishable,15 oz
Heinz Homestyle Beef Gravy,7.00,2,each,Uncategorized,Perishable,12 oz; 18 oz
Swanson White Premium Chunk,7.00,2,fl oz,Uncategorized,Perishable,12.5 oz
Plum Organics Jammy Sammy,7.00,2,each,Uncategorized,Non-perishable,1.02 oz
Mr Clean Magic Eraser,7.00,1,each,Uncategorized,Non-perishable,
Beef Broth Carton,6.00,1,each,Uncategorized,Perishable,32 oz
Campbell S Condensed Cream,6.00,1,each,Uncategorized,Non-perishable,10.5 oz
Fully Cooked Turkey Meatballs,6.00,1,each,Meat,Perishable,32 oz
Jasmine Rice,6.00,1,each,Uncategorized,Non-perishable,2 lb
Planters Deluxe Honey Roasted,6.00,1,each,Uncategorized,Non-perishable,8.25 oz
Plum Organics Teensy Snacks,6.00,1,each,Uncategorized,Non-perishable,35 oz
Premium Saltine Crackers Lunch,6.00,1,each,Uncategorized,Non-perishable,16 oz
Red Seedless Grapes Bag,6.00,1,each,Uncategorized,Non-perishable,2.25 lbs
Sabra Classic Hummus Dip,6.00,1,each,Uncategorized,Non-perishable,10 oz
Siete Mild Taco Seasoning,6.00,2,each,Uncategorized,Non-perishable,1.31 oz
Kraft Mexican Style Four,6.00,2,each,Dairy,Perishable,16 oz; 8 oz
Mainstays X Picture Frame,6.00,3,each,Uncategorized,Non-perishable,
